,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
981,2.0,40901,150,64,69
982,3.0,1101,175,70.7,71.1
983,3.0,1601,150,65.4,63.2
984,3.0,1101,205,73,72.8
985,2.0,40801,30,57,58
986,2.0,40801,10,37,44
987,2.0,40801,100,60,59
988,3.0,401,151,63.2,67.2
989,2.0,40801,110,62,62
990,3.0,801,120,64,63
991,3.0,1101,125,63.4,63.4
992,3.0,1801,150,65.4,66.6
993,3.0,1801,120,61,63.4
994,2.0,40801,100,53,52
995,3.0,801,100,57,55
996,3.0,1701,75,50.9,50.9
997,3.0,601,93,53.6,53.1
998,2.0,40801,110,65,65
999,3.0,1701,90,55.8,55
1000,3.0,1101,180,69.1,71.4
1001,3.0,1601,85,55.8,55.7
1002,2.0,40801,30,51,51
1003,2.0,40901,235,74,80
1004,3.0,801,115,58,61
1005,3.0,1301,150,63,60
1006,2.0,40801,30,52,50
1007,2.0,40901,115,60,63
1008,3.0,401,115,61.4,59.3
1009,2.0,40801,30,53,52
1010,3.0,1701,80,50.3,50.3
1011,2.0,40801,30,54,55
1012,2.0,40801,100,59,58
1013,3.0,1201,150,66.4,69.5
1014,3.0,1401,160,62,69
1015,2.0,40801,100,55,55
1016,3.0,1101,170,69.3,69.1
1017,3.0,1201,130,62.5,64.3
1018,3.0,1201,165,68.8,68.8
1019,3.0,1901,80,47,47
1020,3.0,1701,55,48,46
1021,3.0,1301,160,64,65
1022,2.0,40901,155,66,70
1023,2.0,40901,200,70,74
1024,3.0,1701,60,50,47.4
1025,3.0,501,168,63.6,69.4
1026,2.0,40901,155,66,71
1027,2.0,40801,30,53,50
1028,3.0,601,110,57.2,55.3
1029,3.0,1301,150,55,59
1030,3.0,1301,240,70,69
1031,3.0,101,114,60.5,59.9
1032,3.0,1901,85,54.8,54.8
1033,2.0,40901,220,73,77
1034,3.0,1401,160,68,63
1035,3.0,1301,150,57,58
1036,3.0,1401,160,58,62
1037,3.0,401,146,65.5,65.9
1038,3.0,701,126,63.6,61.1
1039,2.0,40901,160,67,70
1040,3.0,1601,100,56,58.9
1041,2.0,40901,170,68,71
1042,3.0,1201,150,66.9,66.8
1043,3.0,1502,200,62,64
1044,3.0,1201,175,68.2,71
1045,2.0,40801,20,49,48
1046,2.0,40801,30,56,54
1047,3.0,1301,160,62,62
1048,3.0,1201,170,70.5,70.2
1049,2.0,40901,160,65,69
1050,2.0,40801,100,57,55
